name,year,wine ID,rating,price,winery,ratings_count,country,flavor_1,flavor_1_count,flavor_2,flavor_2_count,flavor_3,flavor_3_count,flavor_4,flavor_4_count,flavor_5,flavor_5_count
Brunello di Montalcino 2017,2017,1166517,4.2,79.1802141674451,Le Ragnaie,69,fr,"('earth',)","(249,)","('oak',)","(247,)","('red_fruit',)","(194,)","('non_oak',)","(159,)","('spices',)","(100,)"
Saint-Estèphe (Grand Cru Classé) 2019,2019,1700690,4.0,55.927290513208064,Château Lafon-Rochet,69,fr,"('oak',)","(999,)","('earth',)","(915,)","('black_fruit',)","(887,)","('non_oak',)","(654,)","('spices',)","(410,)"
Saint-Émilion Grand Cru (Grand Cru Classé) 2015,2015,1197054,3.9,54.5240968444179,Château Le Prieuré,69,fr,"('oak',)","(69,)","('earth',)","(49,)","('black_fruit',)","(44,)","('non_oak',)","(44,)","('spices',)","(30,)"
Cuvée Stanislas Blanc de Blancs Champagne 2008,2008,2024931,4.3,78.07770485625284,Thienot,69,fr,"('non_oak',)","(21,)","('earth',)","(20,)","('tree_fruit',)","(19,)","('microbio',)","(18,)","('oak',)","(17,)"
Cabernet Sauvignon 2016,2016,1250083,4.2,51.36691108964002,Antica,68,fr,"('oak',)","(246,)","('black_fruit',)","(204,)","('earth',)","(176,)","('non_oak',)","(140,)","('spices',)","(111,)"
Vigneto Bellavista Chianti Classico 2013,2013,1647685,4.4,115.96393391358733,Castello di Ama,68,fr,"('oak',)","(57,)","('earth',)","(50,)","('non_oak',)","(43,)","('red_fruit',)","(38,)","('spices',)","(33,)"
Margaux (Grand Cru Classé) 2019,2019,18557,4.2,50.3145158380474,Château Kirwan,68,fr,"('oak',)","(840,)","('black_fruit',)","(750,)","('earth',)","(699,)","('non_oak',)","(547,)","('spices',)","(334,)"
Gewurztraminer Alsace Selection de Grains Nobles 2001,2001,1609247,4.5,108.2463687352414,Trimbach,68,fr,"('earth',)","(23,)","('tree_fruit',)","(14,)","('citrus_fruit',)","(9,)","('non_oak',)","(9,)","('spices',)","(9,)"
Pauillac (Grand Cru Classé) 1992,1992,1129305,3.8,105.23952515926248,Château Duhart-Milon,68,fr,"('oak',)","(1052,)","('earth',)","(963,)","('black_fruit',)","(851,)","('non_oak',)","(689,)","('spices',)","(349,)"
Columella 2019,2019,1164602,4.5,125.285148999122,Sadie Family,68,fr,"('black_fruit',)","(271,)","('oak',)","(267,)","('earth',)","(194,)","('spices',)","(179,)","('non_oak',)","(157,)"
Meursault 1er Cru Les Genevrières 2017,2017,1581625,4.2,100.10784545625845,Domaine Henri Boillot,68,fr,"('earth',)","(45,)","('oak',)","(43,)","('citrus_fruit',)","(39,)","('microbio',)","(33,)","('tree_fruit',)","(28,)"
Meursault 1er Cru 'Les Perrières' 2016,2016,1415377,4.2,120.27374303915713,Vincent Girardin,68,fr,"('earth',)","(39,)","('microbio',)","(30,)","('oak',)","(30,)","('citrus_fruit',)","(28,)","('non_oak',)","(22,)"
Saint-Émilion 2017,2017,1182352,4.4,52.11862198363475,Petit-Figeac,68,fr,"('oak',)","(211,)","('black_fruit',)","(169,)","('earth',)","(155,)","('non_oak',)","(129,)","('spices',)","(110,)"
Saint-Émilion Grand Cru (Grand Cru Classé) 2016,2016,1197054,3.9,63.84531192995257,Château Le Prieuré,67,fr,"('oak',)","(69,)","('earth',)","(49,)","('black_fruit',)","(44,)","('non_oak',)","(44,)","('spices',)","(30,)"
La Chapelle de La Mission Haut-Brion Pessac-Léognan 2017,2017,1148839,4.1,110.25093111922736,Château La Mission Haut-Brion,67,fr,"('oak',)","(353,)","('earth',)","(297,)","('black_fruit',)","(285,)","('non_oak',)","(265,)","('spices',)","(144,)"
La Chapelle de La Mission Haut-Brion Pessac-Léognan 2017,2017,1148839,4.1,110.25093111922736,Château La Mission Haut-Brion,67,fr,"('oak',)","(353,)","('earth',)","(297,)","('black_fruit',)","(285,)","('non_oak',)","(265,)","('spices',)","(144,)"
Pomerol 2018,2018,98618,4.1,50.615200195645286,Château Rouget,67,fr,"('oak',)","(329,)","('earth',)","(261,)","('black_fruit',)","(255,)","('non_oak',)","(195,)","('red_fruit',)","(176,)"
Morey-Saint-Denis Premier Cru 'Clos Sorbè' 2013,2013,1525828,4.1,61.13915271157153,David Duband,67,fr,"('oak',)","(29,)","('red_fruit',)","(28,)","('earth',)","(28,)","('non_oak',)","(17,)","('spices',)","(16,)"
Saint-Julien (Grand Cru Classé) 1978,1978,1172272,4.0,70.10956937990868,Château Branaire-Ducru,67,fr,"('oak',)","(1208,)","('black_fruit',)","(1041,)","('earth',)","(983,)","('non_oak',)","(774,)","('spices',)","(502,)"
Saint-Julien (Grand Cru Classé) 2019,2019,1181214,4.0,63.94554004915187,Château Saint-Pierre,67,fr,"('oak',)","(438,)","('black_fruit',)","(398,)","('earth',)","(379,)","('non_oak',)","(306,)","('spices',)","(193,)"
Muscat Alsace Grand Cru Goldert 2012,2012,1972805,3.9,59.93641528117997,Domaine Zind Humbrecht,66,fr,"('earth',)","(65,)","('citrus_fruit',)","(62,)","('tree_fruit',)","(49,)","('tropical_fruit',)","(32,)","('floral',)","(25,)"
Pomerol 2017,2017,1099538,4.4,98.22355681531165,Château Latour à Pomerol,66,fr,"('oak',)","(303,)","('earth',)","(265,)","('black_fruit',)","(245,)","('non_oak',)","(165,)","('red_fruit',)","(160,)"
Le Petit Haut Lafitte Pessac-Léognan Blanc 2014,2014,3317063,3.9,105.23952515926248,Château Smith Haut-Lafitte,66,fr,"('citrus_fruit',)","(56,)","('oak',)","(53,)","('tree_fruit',)","(39,)","('earth',)","(30,)","('microbio',)","(25,)"
Vintage Port 2017,2017,1099392,4.3,89.4535963853731,Quinta do Vesuvio,66,fr,"('oak',)","(144,)","('black_fruit',)","(142,)","('dried_fruit',)","(104,)","('non_oak',)","(97,)","('earth',)","(83,)"
Volnay 1er Cru Les Fremiets 2013,2013,1126853,4.4,99.22583800730463,Domaine Henri Boillot,66,fr,"('red_fruit',)","(64,)","('earth',)","(46,)","('oak',)","(38,)","('spices',)","(25,)","('non_oak',)","(22,)"
Pauillac (Grand Cru Classé) 1988,1988,1145413,4.0,60.08675745997891,Château Lynch-Moussas,65,fr,"('oak',)","(847,)","('earth',)","(705,)","('black_fruit',)","(666,)","('non_oak',)","(600,)","('spices',)","(331,)"
Châteauneuf-du-Pape 1995,1995,84287,4.2,140.269252819417,Château La Nerthe,65,fr,"('oak',)","(848,)","('earth',)","(674,)","('black_fruit',)","(654,)","('spices',)","(519,)","('non_oak',)","(499,)"
Morgon Camille 2018,2018,2915329,3.9,79.1802141674451,Domaine Marcel Lapierre,65,fr,"('red_fruit',)","(24,)","('oak',)","(13,)","('earth',)","(12,)","('black_fruit',)","(11,)","('non_oak',)","(7,)"
Margaux (Grand Cru Classé) 1998,1998,1136300,4.1,88.20074489538189,Château Marquis d'Alesme,64,fr,"('oak',)","(233,)","('black_fruit',)","(219,)","('earth',)","(200,)","('non_oak',)","(129,)","('spices',)","(108,)"
Malbec 2019,2019,2017619,4.3,129.2942737670939,Bodega Noemìa,64,fr,"('oak',)","(172,)","('black_fruit',)","(123,)","('earth',)","(116,)","('non_oak',)","(96,)","('spices',)","(89,)"
Château Giscours (Grand Cru Classé) 1987,1987,13689,3.9,60.08675745997891,Château Giscours,64,fr,"('oak',)","(1807,)","('earth',)","(1520,)","('black_fruit',)","(1468,)","('non_oak',)","(1172,)","('spices',)","(702,)"
Châteauneuf-du-Pape Croix De Bois  2014,2014,20662,4.2,66.15055867153642,M. Chapoutier,64,fr,"('oak',)","(96,)","('black_fruit',)","(94,)","('earth',)","(89,)","('red_fruit',)","(73,)","('spices',)","(60,)"
Saint-Estèphe 1983,1983,68514,4.2,90.1551932197682,Château Haut-Marbuzet,64,fr,"('oak',)","(374,)","('earth',)","(339,)","('black_fruit',)","(299,)","('non_oak',)","(247,)","('red_fruit',)","(163,)"
Pofadder (Die Ouwingerdreeks) 2020,2020,1381100,4.1,56.12774675160666,Sadie Family,64,fr,"('red_fruit',)","(154,)","('earth',)","(71,)","('oak',)","(52,)","('spices',)","(41,)","('non_oak',)","(38,)"
Margaux 1990,1990,1101461,4.1,94.71557264333623,Château Rauzan-Gassies,63,fr,"('oak',)","(301,)","('black_fruit',)","(241,)","('earth',)","(224,)","('non_oak',)","(196,)","('red_fruit',)","(97,)"
Guilhem Gaucelm 2016,2016,2750768,4.2,65.14827747954344,Ermitage du Pic Saint Loup,63,fr,"('earth',)","(13,)","('red_fruit',)","(13,)","('oak',)","(13,)","('spices',)","(9,)","('non_oak',)","(7,)"
Pomerol 2018,2018,1099316,4.2,62.14143390356451,Château Lafleur-Gazin,63,fr,"('oak',)","(208,)","('earth',)","(178,)","('black_fruit',)","(164,)","('non_oak',)","(115,)","('red_fruit',)","(114,)"
Pomerol 1995,1995,1146003,4.2,55.07535150001403,Clos Rene,63,fr,"('oak',)","(221,)","('earth',)","(193,)","('black_fruit',)","(163,)","('non_oak',)","(120,)","('red_fruit',)","(106,)"
La Clarté de Haut-Brion Pessac-Léognan Blanc (Les Plantiers du Haut-Brion) 2018,2018,1148850,4.1,125.285148999122,Château Haut-Brion,63,fr,"('oak',)","(121,)","('earth',)","(120,)","('tree_fruit',)","(111,)","('citrus_fruit',)","(109,)","('microbio',)","(84,)"
Pauillac (Grand Cru Classé) 2019,2019,1148035,4.2,82.28728586262334,Château Grand-Puy-Lacoste,63,fr,"('oak',)","(1518,)","('earth',)","(1387,)","('black_fruit',)","(1201,)","('non_oak',)","(1027,)","('spices',)","(516,)"
Les Monts Damnés Sancerre 2020,2020,100777,4.1,51.116340791641775,Pascal Cotat,63,fr,"('earth',)","(146,)","('citrus_fruit',)","(117,)","('tree_fruit',)","(74,)","('microbio',)","(50,)","('oak',)","(44,)"
Volnay 1er Cru Les Chevrets 2017,2017,1126576,4.3,80.25265504287759,Domaine Henri Boillot,62,fr,"('red_fruit',)","(44,)","('earth',)","(40,)","('oak',)","(31,)","('black_fruit',)","(20,)","('non_oak',)","(19,)"
Le Corton Grand Cru 2013,2013,13463,4.2,119.27146184716415,Bouchard Père & Fils,62,fr,"('earth',)","(132,)","('red_fruit',)","(123,)","('oak',)","(120,)","('non_oak',)","(78,)","('spices',)","(51,)"
Fremiet Volnay 1er Cru 2018,2018,76334,4.5,115.26233707919224,Domaine Marquis d'Angerville,62,fr,"('red_fruit',)","(84,)","('earth',)","(57,)","('oak',)","(46,)","('black_fruit',)","(29,)","('non_oak',)","(28,)"
Les Oliviers Saint-Joseph 2019,2019,1408063,4.3,137.31252330303772,Domaine Pierre Gonon,62,fr,"('earth',)","(46,)","('tree_fruit',)","(30,)","('microbio',)","(23,)","('oak',)","(22,)","('non_oak',)","(20,)"
